                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6092,                 3.3803,                 1.8863,                0.00311,                      1,                0.08901,                0.02429,                 1.3662,                 3.8919,                 1.7831,                      0,                      0,                      0
                      2,                 1.6721,                 3.3505,                 1.7292,                0.00311,                      1,                 0.0921,                0.03274,                 1.3161,                 3.8159,                 1.7549,             1.6615e-05,             1.6615e-05,             1.6615e-05
                      3,                 1.6712,                 3.3552,                 1.7431,                0.00311,                      1,                0.32595,                0.07085,                  1.185,                 3.6627,                 1.6697,              3.312e-05,              3.312e-05,              3.312e-05
                      4,                  1.508,                 3.1698,                 1.5747,                0.00311,                      1,                 0.4049,                0.16404,                 1.0925,                 3.6147,                  1.591,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      5,                 1.5825,                 3.2415,                 1.6513,                0.00311,                      1,                 0.4815,                0.25192,                 1.0064,                 3.5701,                  1.511,               6.58e-05,               6.58e-05,               6.58e-05
                      6,                 1.5778,                 3.2271,                  1.712,                0.00311,                      1,                0.53938,                 0.3404,                0.90817,                  3.497,                 1.4491,             8.1975e-05,             8.1975e-05,             8.1975e-05
                      7,                 1.3713,                 2.9762,                 1.4834,                0.00311,                      1,                0.66375,                0.44332,                0.83639,                 3.4772,                 1.4076,              9.804e-05,              9.804e-05,              9.804e-05
                      8,                 1.1933,                 2.7938,                 1.3166,                0.00311,                      1,                0.66375,                0.45665,                0.76835,                 3.4682,                 1.3496,             0.00011399,             0.00011399,             0.00011399
                      9,                 1.0714,                 2.7079,                 1.3066,                0.00311,                      1,                0.66375,                0.43571,                  0.747,                 3.4409,                 1.2943,             0.00012984,             0.00012984,             0.00012984
                     10,                 1.1805,                 2.6417,                  1.389,                0.00312,                      1,                  0.705,                0.46464,                0.77546,                 3.4328,                 1.2807,             0.00014557,             0.00014557,             0.00014557
                     11,                0.95134,                 2.2321,                 1.2045,                0.00313,                      1,                0.62208,                0.40249,                0.82995,                 3.3377,                 1.2778,              0.0001612,              0.0001612,              0.0001612
                     12,                 1.2076,                 2.3323,                 1.3722,                0.00314,                      1,                0.62187,                 0.4315,                0.89817,                 3.2633,                 1.2799,             0.00017671,             0.00017671,             0.00017671
                     13,                 1.1713,                 2.1103,                 1.2939,                0.00313,                      1,                0.62187,                0.42346,                0.97751,                 3.1597,                 1.3258,             0.00019212,             0.00019212,             0.00019212
                     14,                 1.0337,                 2.0702,                 1.2583,                0.00314,                      1,                0.62187,                0.43194,                 1.1121,                 3.0874,                 1.4598,             0.00020741,             0.00020741,             0.00020741
                     15,                0.98348,                 2.0133,                 1.2826,                0.00544,                      1,                0.62187,                0.41546,                 1.2073,                 3.0325,                 1.5656,              0.0002226,              0.0002226,              0.0002226
                     16,                 1.2073,                 2.0798,                 1.3906,                 0.3237,                    0.5,                0.62187,                0.36578,                 1.2336,                 2.9222,                   1.59,             0.00023767,             0.00023767,             0.00023767
                     17,                 1.0609,                 1.8674,                  1.216,                0.85044,                    0.5,                0.66333,                0.38663,                 1.2069,                 2.8756,                 1.5443,             0.00025264,             0.00025264,             0.00025264
                     18,                0.95629,                 1.7546,                 1.1612,                0.85044,                    0.5,                0.66333,                0.38663,                 1.2069,                 2.8756,                 1.5443,             0.00026749,             0.00026749,             0.00026749
                     19,                 1.0346,                 1.9148,                 1.2509,                 0.6018,                      1,                  0.995,                0.55028,                 1.0642,                 2.7446,                 1.3929,             0.00028224,             0.00028224,             0.00028224
                     20,                0.96043,                 1.6811,                 1.1457,                 0.6018,                      1,                  0.995,                0.55028,                 1.0642,                 2.7446,                 1.3929,             0.00029687,             0.00029687,             0.00029687
